,bytes,status,voltage,pai,counter,spo2,hr,time,takes
27,10,True,33,120,423,98,77,2022-03-06-23-49-07.763309,A1
28,10,True,33,148,424,98,76,2022-03-06-23-49-08.752812,A1
29,10,True,33,150,425,98,75,2022-03-06-23-49-09.743174,A1
30,10,True,33,176,426,98,75,2022-03-06-23-49-10.778393,A1
31,10,True,33,176,427,98,74,2022-03-06-23-49-11.768643,A1
32,10,True,33,140,428,98,74,2022-03-06-23-49-12.758825,A1
33,10,True,33,176,429,98,74,2022-03-06-23-49-13.749727,A1
34,10,True,33,178,430,98,73,2022-03-06-23-49-14.740117,A1
35,10,True,33,152,431,98,73,2022-03-06-23-49-15.774722,A1
36,10,True,33,204,432,98,74,2022-03-06-23-49-16.764684,A1
37,10,True,33,202,433,98,73,2022-03-06-23-49-17.754699,A1
38,10,True,33,174,434,98,74,2022-03-06-23-49-18.744897,A1
39,10,True,33,210,435,98,74,2022-03-06-23-49-19.779808,A1
40,10,True,33,210,436,98,74,2022-03-06-23-49-20.769859,A1
