,id,dp1,dp2,dp3,dp4,dp5,dp6,dp7,dp8,dp9,dp10,dp11,dp12,dp13,dp14,dp15,dp16,dp17,dp18,dp19,dp20,dp21,dp22,dp23,dp24,dp25,counter,date,takes
264,53,35112,34895,34692,34501,34317,34143,33987,33865,33790,33769,33802,33878,33977,34079,34167,34227,34251,34236,34183,34097,33985,33856,33720,33585,33457,2610,2022-03-06-23-56-27.428692,A1
265,53,33334,33215,33099,32987,32883,32793,32720,32669,32639,32623,32613,32601,32580,32549,32509,32461,32407,32346,32275,32197,32121,32058,32034,32082,32234,2611,2022-03-06-23-56-27.744218,A1
266,53,32504,32885,33336,33797,34198,34480,34613,34593,34442,34195,33895,33581,33278,32999,32743,32503,32277,32072,31898,31772,31704,31690,31719,31772,31827,2612,2022-03-06-23-56-28.103434,A1
267,53,31868,31883,31863,31810,31725,31616,31492,31363,31233,31107,30986,30871,30766,30671,30590,30522,30468,30427,30398,30382,30380,30386,30400,30420,30444,2613,2022-03-06-23-56-28.598364,A1
268,53,30470,30491,30503,30499,30484,30467,30469,30529,30683,30955,31346,31830,32360,32870,33301,33610,33778,33811,33729,33570,33374,33173,32987,32823,32678,2614,2022-03-06-23-56-28.778828,A1
269,53,32541,32410,32289,32186,32115,32086,32104,32165,32259,32368,32474,32564,32623,32646,32634,32593,32532,32460,32386,32316,32251,32189,32127,32061,31994,2615,2022-03-06-23-56-29.138707,A1
270,53,31932,31882,31851,31842,31851,31874,31907,31946,31990,32038,32086,32128,32161,32183,32193,32195,32193,32189,32183,32182,32201,32270,32427,32699,33083,2616,2022-03-06-23-56-29.409138,A1
271,53,33552,34048,34503,34854,35066,35133,35073,34921,34720,34507,34310,34147,34018,33915,33828,33746,33664,33587,33527,33497,33509,33563,33649,33750,33843,2617,2022-03-06-23-56-29.769973,A1
272,53,33914,33953,33958,33933,33885,33821,33748,33671,33593,33514,33436,33359,33285,33215,33157,33110,33072,33042,33017,32999,32984,32976,32973,32976,32975,2618,2022-03-06-23-56-30.088812,A1
273,53,32969,32952,32924,32883,32833,32775,32711,32643,32574,32515,32475,32482,32567,32761,33071,33483,33959,34436,34852,35157,35325,35353,35261,35082,34857,2619,2022-03-06-23-56-30.401380,A1
274,53,34621,34398,34197,34012,33834,33659,33489,33337,33219,33147,33125,33150,33206,33275,33336,33375,33381,33350,33284,33189,33071,32932,32774,32599,32412,2620,2022-03-06-23-56-30.853090,A1
275,53,32222,32043,31888,31764,31675,31614,31576,31553,31539,31528,31519,31505,31485,31456,31421,31379,31328,31263,31182,31086,30982,30891,30848,30890,31043,2621,2022-03-06-23-56-31.080110,A1
276,53,31315,31686,32110,32532,32895,33159,33305,33334,33267,33130,32958,32779,32610,32459,32321,32189,32060,31941,31844,31785,31774,31814,31894,31993,32088,2622,2022-03-06-23-56-31.438735,A1
277,53,32161,32203,32213,32196,32161,32117,32070,32023,31974,31922,31865,31805,31740,31676,31619,31574,31541,31522,31514,31517,31533,31561,31603,31655,31712,2623,2022-03-06-23-56-31.755234,A1
278,53,31766,31811,31845,31868,31882,31889,31892,31897,31911,31952,32053,32249,32563,32990,33502,34040,34537,34935,35199,35319,35308,35196,35019,34815,34615,2624,2022-03-06-23-56-32.070124,A1
279,53,34436,34283,34150,34024,33899,33773,33653,33552,33483,33455,33467,33511,33575,33641,33693,33721,33720,33692,33641,33575,33498,33414,33324,33231,33139,2625,2022-03-06-23-56-32.430894,A1
280,53,33047,32957,32872,32790,32718,32657,32612,32582,32569,32567,32573,32581,32588,32593,32599,32601,32596,32583,32562,32538,32522,32545,32643,32851,33180,2626,2022-03-06-23-56-32.747947,A1
281,53,33615,34115,34621,35068,35408,35620,35700,35662,35536,35353,35146,34942,34755,34587,34433,34286,34140,33998,33871,33774,33713,33694,33709,33746,33790,2627,2022-03-06-23-56-33.107354,A1
282,53,33824,33838,33822,33772,33688,33576,33443,33297,33145,32994,32847,32706,32571,32447,32338,32246,32174,32118,32076,32040,32008,31977,31943,31905,31859,2628,2022-03-06-23-56-33.422950,A1
283,53,31806,31746,31683,31626,31599,31630,31750,31973,32289,32660,33029,33338,33543,33626,33593,33467,33278,33056,32826,32603,32395,32197,32010,31838,31689,2629,2022-03-06-23-56-33.784207,A1
284,53,31575,31509,31494,31527,31593,31670,31744,31798,31825,31823,31798,31754,31698,31629,31550,31460,31363,31261,31159,31062,30975,30901,30842,30795,30757,2630,2022-03-06-23-56-34.189788,A1
